,Date,From,To,Airline,Latitude (From),Longitude (From),Latitude (To),Longitude (To),Weekday,Mean distance (km),Mean flight time (hr),CO2 per pax (kg),#trees
112,2021-10-23,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Saturday,3176.5,4.13125,296.9351514371848,12.372297976549367
113,2021-10-16,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Saturday,3176.5,4.13125,296.9351514371848,12.372297976549367
114,2021-11-27,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Saturday,3176.5,4.13125,296.9351514371848,12.372297976549367
115,2021-11-20,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Saturday,3176.5,4.13125,296.9351514371848,12.372297976549367
116,2021-11-13,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Saturday,3176.5,4.13125,296.9351514371848,12.372297976549367
117,2021-10-09,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Saturday,3176.5,4.13125,296.9351514371848,12.372297976549367
118,2021-10-30,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Saturday,3223.77,4.13125,301.35389049225665,12.556412103844027
119,2021-10-23,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Saturday,3223.77,4.13125,301.35389049225665,12.556412103844027
120,2021-10-16,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Saturday,3223.77,4.13125,301.35389049225665,12.556412103844027
121,2021-11-29,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Monday,3223.77,4.147222222222222,301.35389049225665,12.556412103844027
122,2021-11-22,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Monday,3223.77,4.147222222222222,301.35389049225665,12.556412103844027
123,2021-11-15,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Monday,3223.77,4.147222222222222,301.35389049225665,12.556412103844027
124,2021-11-08,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Monday,3223.77,4.147222222222222,301.35389049225665,12.556412103844027
125,2021-11-01,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Monday,3223.77,4.147222222222222,301.35389049225665,12.556412103844027
126,2021-10-25,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Monday,3223.77,4.147222222222222,301.35389049225665,12.556412103844027
127,2021-10-18,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Monday,3223.77,4.147222222222222,301.35389049225665,12.556412103844027
128,2021-11-30,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Tuesday,2037.66,2.914814814814815,220.08927033046547,9.170386263769394
129,2021-11-28,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Sunday,2037.66,2.8629629629629627,220.08927033046547,9.170386263769394
130,2021-11-27,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Saturday,2037.66,2.8,220.08927033046547,9.170386263769394
131,2021-11-26,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Friday,2037.66,2.888888888888889,220.08927033046547,9.170386263769394
132,2021-11-25,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Thursday,2037.66,2.9625,220.08927033046547,9.170386263769394
133,2021-11-24,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Wednesday,2037.66,2.9604166666666667,220.08927033046547,9.170386263769394
134,2021-11-23,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Tuesday,2037.66,2.914814814814815,220.08927033046547,9.170386263769394
135,2021-11-22,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Monday,2037.66,2.8722222222222222,220.08927033046547,9.170386263769394
136,2021-11-21,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Sunday,2037.66,2.8629629629629627,220.08927033046547,9.170386263769394
137,2021-11-20,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Saturday,2037.66,2.8,220.08927033046547,9.170386263769394
138,2021-11-19,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Friday,2037.66,2.888888888888889,220.08927033046547,9.170386263769394
139,2021-11-18,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Thursday,2037.66,2.9625,220.08927033046547,9.170386263769394
140,2021-11-17,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Wednesday,2037.66,2.9604166666666667,220.08927033046547,9.170386263769394
141,2021-11-16,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Tuesday,2037.66,2.914814814814815,220.08927033046547,9.170386263769394
142,2021-11-15,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Monday,2037.66,2.8722222222222222,220.08927033046547,9.170386263769394
143,2021-11-14,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Sunday,2037.66,2.8629629629629627,220.08927033046547,9.170386263769394
144,2021-11-13,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Saturday,2037.66,2.8,220.08927033046547,9.170386263769394
145,2021-11-12,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Friday,2037.66,2.888888888888889,220.08927033046547,9.170386263769394
146,2021-11-11,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Thursday,2037.66,2.9625,220.08927033046547,9.170386263769394
147,2021-11-10,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Wednesday,2037.66,2.9604166666666667,220.08927033046547,9.170386263769394
148,2021-11-09,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Tuesday,2037.66,2.914814814814815,220.08927033046547,9.170386263769394
149,2021-11-08,Amsterdam (AMS),Reykjavik (KEF),Icelandair,52.3091,4.7634,63.9961,-22.6234,Monday,2037.66,2.8722222222222222,220.08927033046547,9.170386263769394
